# deadline, batch, obs, generalMean, variance, minVal, maxVal, included
200.0, 7, 12, 3.905,0.002, 3.869, 3.942, OK
70.0, 7, 12, 3.821,0.003, 3.781, 3.862, OK
175.0, 7, 12, 3.904,0.001, 3.886, 3.921, OK
15.0, 7, 12, 3.521,0.001, 3.500, 3.542, OK
75.0, 7, 12, 3.862,0.001, 3.834, 3.890, OK
125.0, 7, 12, 3.917,0.003, 3.881, 3.954, OK
80.0, 7, 12, 3.801,0.001, 3.776, 3.827, OK
55.0, 7, 12, 3.782,0.004, 3.737, 3.828, OK
95.0, 7, 12, 3.863,0.004, 3.816, 3.909, OK
33.0, 7, 12, 3.689,0.003, 3.652, 3.725, OK
100.0, 7, 12, 3.877,0.002, 3.847, 3.907, OK
40.0, 7, 12, 3.708,0.002, 3.672, 3.744, OK
60.0, 7, 12, 3.800,0.002, 3.770, 3.830, OK
85.0, 7, 12, 3.853,0.001, 3.832, 3.874, OK
45.0, 7, 12, 3.760,0.002, 3.729, 3.792, OK
65.0, 7, 12, 3.828,0.005, 3.775, 3.881, OK
90.0, 7, 12, 3.857,0.004, 3.809, 3.906, OK
25.0, 7, 12, 3.653,0.007, 3.592, 3.714, OK
150.0, 7, 12, 3.915,0.007, 3.855, 3.975, OK
50.0, 7, 12, 3.805,0.002, 3.772, 3.839, OK
20.0, 7, 12, 3.621,0.002, 3.587, 3.656, OK
