# deadline, batch, obs, generalMean, variance, minVal, maxVal, included
60.0, 7, 12, 282.502,285.447, 270.093, 294.911, OK
150.0, 7, 12, 310.668,66.321, 304.687, 316.650, OK
175.0, 7, 12, 313.893,120.072, 305.845, 321.941, OK
45.0, 7, 12, 280.907,104.665, 273.393, 288.421, OK
25.0, 7, 12, 277.318,33.901, 273.042, 281.595, OK
65.0, 7, 12, 284.825,74.771, 278.474, 291.176, OK
50.0, 7, 12, 280.018,67.954, 273.964, 286.073, OK
55.0, 7, 12, 274.502,28.523, 270.579, 278.424, OK
70.0, 7, 12, 286.483,49.166, 281.334, 291.633, OK
125.0, 7, 12, 310.599,51.389, 305.334, 315.864, OK
75.0, 7, 12, 283.305,117.171, 275.355, 291.255, OK
95.0, 7, 12, 297.424,130.195, 289.043, 305.804, OK
200.0, 7, 12, 317.112,21.942, 313.671, 320.552, OK
85.0, 7, 12, 291.861,66.700, 285.863, 297.859, OK
15.0, 7, 12, 301.528,136.073, 292.961, 310.096, OK
33.0, 7, 12, 271.254,85.771, 264.452, 278.056, OK
20.0, 7, 12, 295.751,75.792, 289.357, 302.145, OK
100.0, 7, 12, 297.270,85.075, 290.496, 304.044, OK
90.0, 7, 12, 293.610,70.607, 287.438, 299.781, OK
80.0, 7, 12, 291.071,58.039, 285.476, 296.666, OK
40.0, 7, 12, 273.894,60.012, 268.205, 279.584, OK
